Fecha,Pedidos,"Ventas brutas",Devoluciones,Cupones,"Ventas netas",Impuestos,Envío,"Ventas totales"
"2024-12-05 00:00:00",10,653950,0,14864,639086,0,0,639086
"2024-12-04 00:00:00",1,61140,0,0,61140,0,0,61140
"2024-12-03 00:00:00",4,409500,0,0,409500,0,4000,413500
"2024-12-02 00:00:00",16,1368040,0,9308,1358732,0,0,1358732
"2024-12-01 00:00:00",1,60210,0,6021,54189,0,0,54189
"2024-11-30 00:00:00",2,103320,0,7487,95833,0,4000,99833
"2024-11-29 00:00:00",3,106820,0,9086,97734,0,0,97734
"2024-11-28 00:00:00",3,121270,0,0,121270,0,0,121270
"2024-11-27 00:00:00",4,149690,0,0,149690,0,4000,153690
"2024-11-26 00:00:00",1,80310,0,0,80310,0,0,80310
"2024-11-25 00:00:00",3,245400,0,0,245400,0,4000,249400
"2024-11-24 00:00:00",0,0,0,0,0,0,0,0
"2024-11-23 00:00:00",0,0,0,0,0,0,0,0
"2024-11-22 00:00:00",2,885500,0,0,885500,0,0,885500
"2024-11-21 00:00:00",5,353160,0,0,353160,0,12000,365160
"2024-11-20 00:00:00",1,402180,0,0,402180,0,0,402180
"2024-11-19 00:00:00",3,66460,0,0,66460,0,4000,70460
"2024-11-18 00:00:00",2,159460,0,0,159460,0,4000,163460
"2024-11-17 00:00:00",1,35700,0,0,35700,0,4000,39700
"2024-11-16 00:00:00",1,193620,0,0,193620,0,0,193620
"2024-11-15 00:00:00",1,79870,0,0,79870,0,0,79870
"2024-11-14 00:00:00",5,267280,0,0,267280,0,0,267280
"2024-11-13 00:00:00",4,474560,0,0,474560,0,0,474560
"2024-11-12 00:00:00",2,83480,0,0,83480,0,4000,87480
"2024-11-11 00:00:00",3,173080,0,0,173080,0,0,173080
"2024-11-10 00:00:00",1,60350,0,0,60350,0,0,60350
"2024-11-09 00:00:00",0,0,0,0,0,0,0,0
"2024-11-08 00:00:00",1,38700,0,0,38700,0,4000,42700
"2024-11-07 00:00:00",4,425070,0,0,425070,0,0,425070
"2024-11-06 00:00:00",3,225940,0,0,225940,0,4000,229940
"2024-11-05 00:00:00",3,197960,0,0,197960,0,4000,201960
"2024-11-04 00:00:00",3,872940,0,0,872940,0,0,872940
"2024-11-03 00:00:00",2,119890,0,0,119890,0,4000,123890
"2024-11-02 00:00:00",3,166460,0,0,166460,0,4000,170460
"2024-11-01 00:00:00",0,0,0,0,0,0,0,0
"2024-10-31 00:00:00",0,0,0,0,0,0,0,0
"2024-10-30 00:00:00",6,588760,0,0,588760,0,0,588760
"2024-10-29 00:00:00",1,92240,0,0,92240,0,0,92240
"2024-10-28 00:00:00",3,115080,0,0,115080,0,4000,119080
"2024-10-27 00:00:00",0,0,0,0,0,0,0,0
"2024-10-26 00:00:00",0,0,0,0,0,0,0,0
"2024-10-25 00:00:00",2,6900,0,0,6900,0,4000,10900
"2024-10-24 00:00:00",4,284240,0,0,284240,0,8000,292240
"2024-10-23 00:00:00",4,706100,0,0,706100,0,0,706100
"2024-10-22 00:00:00",5,547810,0,0,547810,0,4000,551810
"2024-10-21 00:00:00",0,0,0,0,0,0,0,0
"2024-10-20 00:00:00",3,277370,0,0,277370,0,4000,281370
"2024-10-19 00:00:00",1,37780,0,0,37780,0,4000,41780
"2024-10-18 00:00:00",2,103000,0,0,103000,0,4000,107000
"2024-10-17 00:00:00",4,184550,0,0,184550,0,4000,188550
"2024-10-16 00:00:00",3,154150,0,0,154150,0,4000,158150
"2024-10-15 00:00:00",3,507540,0,0,507540,0,0,507540
"2024-10-14 00:00:00",7,775430,0,0,775430,0,0,775430
"2024-10-13 00:00:00",0,0,0,0,0,0,0,0
"2024-10-12 00:00:00",1,16380,0,0,16380,0,0,16380
"2024-10-11 00:00:00",8,785550,0,0,785550,0,5400,790950
"2024-10-10 00:00:00",2,219330,0,0,219330,0,4000,223330
"2024-10-09 00:00:00",4,376580,0,0,376580,0,0,376580
"2024-10-08 00:00:00",5,527230,0,0,527230,0,8000,535230
"2024-10-07 00:00:00",4,629450,0,0,629450,0,4000,633450
"2024-10-06 00:00:00",2,71870,0,0,71870,0,4000,75870
"2024-10-05 00:00:00",0,0,0,0,0,0,0,0
"2024-10-04 00:00:00",6,800580,0,0,800580,0,4000,804580
"2024-10-03 00:00:00",4,501390,0,0,501390,0,0,501390
"2024-10-02 00:00:00",3,193770,0,0,193770,0,4000,197770
"2024-10-01 00:00:00",5,252330,0,0,252330,0,4000,256330
"2024-09-30 00:00:00",7,854550,0,0,854550,0,12000,866550
"2024-09-29 00:00:00",3,143520,0,0,143520,0,4000,147520
"2024-09-28 00:00:00",3,213080,0,0,213080,0,0,213080
"2024-09-27 00:00:00",1,45690,0,0,45690,0,4000,49690
"2024-09-26 00:00:00",2,77320,0,0,77320,0,4000,81320
"2024-09-25 00:00:00",5,278740,0,0,278740,0,4000,282740
"2024-09-24 00:00:00",4,405000,0,0,405000,0,0,405000
"2024-09-23 00:00:00",7,732480,0,0,732480,0,5400,737880
"2024-09-22 00:00:00",3,322350,0,0,322350,0,0,322350
"2024-09-21 00:00:00",1,214860,0,0,214860,0,0,214860
"2024-09-20 00:00:00",0,0,0,0,0,0,0,0
"2024-09-19 00:00:00",0,0,0,0,0,0,0,0
"2024-09-18 00:00:00",0,0,0,0,0,0,0,0
"2024-09-17 00:00:00",1,12700,0,1270,11430,0,0,11430
"2024-09-16 00:00:00",4,214850,0,6010,208840,0,8000,216840
"2024-09-15 00:00:00",0,0,0,0,0,0,0,0
"2024-09-14 00:00:00",1,64790,0,0,64790,0,0,64790
"2024-09-13 00:00:00",0,0,0,0,0,0,0,0
"2024-09-12 00:00:00",19,1361220,0,8713,1352507,0,4000,1356507
"2024-09-11 00:00:00",6,784520,0,70764,713756,0,8000,721756
"2024-09-10 00:00:00",2,291310,0,0,291310,0,4000,295310
"2024-09-09 00:00:00",3,245050,0,11193,233857,0,4000,237857
"2024-09-08 00:00:00",1,30300,0,0,30300,0,4000,34300
"2024-09-07 00:00:00",1,27800,0,2780,25020,0,4000,29020
"2024-09-06 00:00:00",7,766900,0,6471,760429,0,6000,766429
"2024-09-05 00:00:00",7,279881,0,7854,272027,0,17600,289627
"2024-09-04 00:00:00",2,111150,0,0,111150,0,4000,115150
"2024-09-03 00:00:00",2,121370,0,0,121370,0,0,121370
"2024-09-02 00:00:00",7,363470,0,0,363470,0,4000,367470
"2024-09-01 00:00:00",2,54450,0,0,54450,0,4000,58450
"2024-08-31 00:00:00",1,15760,0,0,15760,0,4000,19760
"2024-08-30 00:00:00",2,67600,0,0,67600,0,0,67600
"2024-08-29 00:00:00",2,89320,0,0,89320,0,4000,93320
